,Unnamed: 0,Cruise ID,Station-Cast #,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottle Position,Filename,File Flag,Rosette Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Chl (ug/l),Phaeo (ug/l),Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate [µmol/L],Discrete Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments,Chl Comments
0,0,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,1,ctd\at30_001.hex,0000000000000100,1,0000000000000100,Aug 07 2015 15:13:54,1505.111,0000000000000100,1487.859,42.54162,-62.58168,3.9746,0000000000000100,3.9758,0000000000000100,3.315597,0000000000000100,3.315619,0000000000000100,34.9561,34.9552,5.7616,0000000000000100,7.2513,-9999999,-9999999,0.0978,97.5857,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
1,1,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,2,ctd\at30_001.hex,0000000000000100,2,0000000000000100,Aug 07 2015 15:14:10,1505.119,0000000000000100,1487.867,42.54159,-62.58165,3.9756,0000000000000100,3.9764,0000000000000100,3.315693,0000000000000100,3.315685,0000000000000100,34.9562,34.9553,5.762,0000000000000100,7.25112,-9999999,-9999999,0.098,97.5792,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
2,2,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,3,ctd\at30_001.hex,0000000000000100,3,0000000000000100,Aug 07 2015 15:14:17,1505.087,0000000000000100,1487.836,42.54158,-62.58163,3.9754,0000000000000100,3.9765,0000000000000100,3.315678,0000000000000100,3.315692,0000000000000100,34.9563,34.9553,5.7614,0000000000000100,7.25115,-9999999,-9999999,0.0984,97.5706,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,3,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,4,ctd\at30_001.hex,0000000000000100,4,0000000000000100,Aug 07 2015 15:14:25,1505.25,0000000000000100,1487.996,42.54157,-62.58161,3.9755,0000000000000100,3.9766,0000000000000100,3.315683,0000000000000100,3.315704,0000000000000100,34.9562,34.9553,5.7631,0000000000000100,7.25115,-9999999,-9999999,0.1114,97.2577,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,4,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,5,ctd\at30_001.hex,0000000000000100,5,0000000000000100,Aug 07 2015 15:14:32,1505.179,0000000000000100,1487.926,42.54156,-62.5816,3.975,0000000000000100,3.9764,0000000000000100,3.315645,0000000000000100,3.315687,0000000000000100,34.9562,34.9553,5.7679,0000000000000100,7.25122,-9999999,-9999999,0.0983,97.573,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,5,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,6,ctd\at30_001.hex,0000000000000100,6,0000000000000100,Aug 07 2015 15:14:39,1504.753,0000000000000100,1487.506,42.54154,-62.5816,3.975,0000000000000100,3.9762,0000000000000100,3.31562,0000000000000100,3.315648,0000000000000100,34.9562,34.9553,5.7647,0000000000000100,7.25123,-9999999,-9999999,0.0979,97.5819,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
6,6,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,7,ctd\at30_001.hex,0000000000000100,7,0000000000000100,Aug 07 2015 15:14:46,1504.925,0000000000000100,1487.675,42.54152,-62.5816,3.9745,0000000000000100,3.9758,0000000000000100,3.315575,0000000000000100,3.31562,0000000000000100,34.9562,34.9552,5.7676,0000000000000100,7.25133,-9999999,-9999999,0.0983,97.5725,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,7,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,8,ctd\at30_001.hex,0000000000000100,8,0000000000000100,Aug 07 2015 15:14:53,1504.838,0000000000000100,1487.59,42.54151,-62.58161,3.9747,0000000000000100,3.9757,0000000000000100,3.315598,0000000000000100,3.315605,0000000000000100,34.9562,34.9553,5.7607,0000000000000100,7.25128,-9999999,-9999999,0.0981,97.5776,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,8,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,9,ctd\at30_001.hex,0000000000000100,9,0000000000000100,Aug 07 2015 15:15:00,1504.971,0000000000000100,1487.721,42.5415,-62.58162,3.9745,0000000000000100,3.9755,0000000000000100,3.315581,0000000000000100,3.315586,0000000000000100,34.9562,34.9552,5.7623,0000000000000100,7.25133,-9999999,-9999999,0.0985,97.5673,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,9,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,10,ctd\at30_001.hex,0000000000000100,10,0000000000000100,Aug 07 2015 15:15:06,1504.996,0000000000000100,1487.746,42.54148,-62.58162,3.9734,0000000000000100,3.9749,0000000000000100,3.315488,0000000000000100,3.315531,0000000000000100,34.9562,34.9552,5.7593,0000000000000100,7.25151,-9999999,-9999999,0.0981,97.577,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
10,10,AT30-01,1,-9999999,42 32.87 N,062 35.04 W,2015-08-07T12:39:53Z,1,0000000000000100,11,ctd\at30_001.hex,0000000000000100,11,0000000000000100,Aug 07 2015 15:15:13,1504.838,0000000000000100,1487.59,42.54146,-62.58164,3.9735,0000000000000100,3.9745,0000000000000100,3.315497,0000000000000100,3.31549,0000000000000100,34.9562,34.9552,5.7624,0000000000000100,7.25149,-9999999,-9999999,0.0978,97.5846,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
