       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      4.000     5.4010     5.4017   3.371483   3.371562     2.6702     0.6855     0.4842    34.8777 4.8206e+02      3.962    34.8777    34.8779     6.9087    1472.26    27.5307    27.5309
      5.000     5.4012     5.4018   3.371576   3.371636     2.6704     0.5761     0.5056    34.8780 5.2581e+02      4.952    34.8780    34.8781     6.9102    1472.28    27.5310    27.5310
      6.000     5.4001     5.4005   3.371561   3.371606     2.6697     0.5953     0.4786    34.8784 5.7280e+02      5.943    34.8784    34.8786     6.9089    1472.29    27.5314    27.5316
      7.000     5.4002     5.4007   3.371609   3.371655     2.6699     0.6440     0.4794    34.8784 5.6918e+02      6.933    34.8784    34.8784     6.9105    1472.31    27.5314    27.5314
      8.000     5.4006     5.4009   3.371683   3.371720     2.6696     0.7252     0.4824    34.8783 5.7616e+02      7.924    34.8783    34.8784     6.9103    1472.33    27.5313    27.5313
      9.000     5.4009     5.4017   3.371759   3.371824     2.6686     0.8057     0.4849    34.8784 6.0255e+02      8.914    34.8784    34.8783     6.9081    1472.35    27.5313    27.5312
     10.000     5.4006     5.4012   3.371789   3.371843     2.6679     0.8352     0.5046    34.8784 5.8694e+02      9.905    34.8784    34.8785     6.9067    1472.36    27.5314    27.5314
     11.000     5.4007     5.4010   3.371837   3.371886     2.6679     0.8314     0.4808    34.8784 5.7976e+02     10.895    34.8784    34.8787     6.9076    1472.38    27.5314    27.5316
     12.000     5.3997     5.3998   3.371787   3.371823     2.6679     0.8357     0.4848    34.8785 5.7564e+02     11.886    34.8783    34.8787     6.9086    1472.39    27.5315    27.5317
     13.000     5.3981     5.3985   3.371706   3.371745     2.6674     0.9084     0.4770    34.8786 5.8391e+02     12.876    34.8786    34.8786     6.9084    1472.40    27.5319    27.5318
     14.000     5.3977     5.3988   3.371706   3.371810     2.6679     0.9513     0.4821    34.8785 5.9526e+02     13.867    34.8784    34.8785     6.9109    1472.42    27.5318    27.5317
     15.000     5.3984     5.3980   3.371817   3.371789     2.6679     0.9307     0.4819    34.8785 5.9816e+02     14.857    34.8785    34.8785     6.9117    1472.44    27.5318    27.5319
     16.000     5.3989     5.3993   3.371919   3.371962     2.6676     0.9403     0.4841    34.8786 5.9808e+02     15.847    34.8786    34.8786     6.9114    1472.45    27.5318    27.5318
