       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      4.000     5.6266     5.6440   3.390178   3.391993     2.7034     0.1201     0.5027    34.8564 1.0322e+03      3.962    34.8574    34.8601     6.9752    1473.14    27.4870    27.4870
      5.000     5.3512     5.3940   3.364921   3.369381     2.6939     0.0908     0.5255    34.8685 1.0440e+03      4.953    34.8536    34.8603     6.9953    1472.05    27.5176    27.5177
      6.000     5.2353     5.2568   3.355498   3.357330     2.6951     0.0916     0.5042    34.8690 1.0475e+03      5.943    34.8654    34.8642     7.0204    1471.61    27.5410    27.5374
      7.000     5.2425     5.2440   3.356015   3.356358     2.6921     0.1318     0.5223    34.8683 1.0480e+03      6.934    34.8634    34.8658     7.0104    1471.66    27.5385    27.5402
      8.000     5.2377     5.2492   3.355690   3.356859     2.6912     0.2059     0.5149    34.8669 1.0530e+03      7.925    34.8641    34.8655     7.0093    1471.65    27.5396    27.5394
      9.000     5.2227     5.2232   3.354441   3.354687     2.6904     0.2724     0.5293    34.8674 1.0584e+03      8.915    34.8648    34.8672     7.0102    1471.61    27.5420    27.5438
     10.000     5.2204     5.2207   3.354302   3.354516     2.6882     0.2711     0.5217    34.8671 1.0495e+03      9.906    34.8651    34.8673     7.0046    1471.62    27.5425    27.5442
     11.000     5.2179     5.2182   3.354140   3.354365     2.6874     0.3337     0.5101    34.8669 1.0512e+03     10.896    34.8653    34.8676     7.0034    1471.63    27.5430    27.5447
     12.000     5.2123     5.2126   3.353691   3.353917     2.6869     0.3814     0.5061    34.8667 1.0614e+03     11.887    34.8654    34.8678     7.0036    1471.62    27.5437    27.5456
     13.000     5.2060     5.2065   3.353121   3.353393     2.6863     0.4216     0.5426    34.8663 1.0581e+03     12.877    34.8649    34.8675     7.0039    1471.61    27.5441    27.5461
     14.000     5.1987     5.1995   3.352364   3.352815     2.6859     0.4879     0.5176    34.8647 1.0522e+03     13.868    34.8632    34.8677     7.0048    1471.59    27.5436    27.5470
     15.000     5.1907     5.1922   3.351831   3.352190     2.6844     0.5690     0.5111    34.8662 1.0559e+03     14.858    34.8649    34.8676     7.0022    1471.58    27.5459    27.5478
     16.000     5.1812     5.1813   3.350881   3.351224     2.6837     0.6540     0.5156    34.8644 1.0632e+03     15.849    34.8634    34.8672     7.0027    1471.56    27.5458    27.5488
     17.000     5.1772     5.1775   3.350634   3.350895     2.6838     0.6983     0.5212    34.8655 1.0621e+03     16.839    34.8642    34.8668     7.0044    1471.56    27.5470    27.5490
     18.000     5.1684     5.1667   3.349810   3.349879     2.6839     0.7205     0.5264    34.8647 1.0586e+03     17.830    34.8633    34.8659     7.0074    1471.54    27.5473    27.5496
     19.000     5.1542     5.1546   3.348535   3.348683     2.6813     0.7609     0.5202    34.8643 1.0575e+03     18.820    34.8628    34.8641     7.0025    1471.50    27.5486    27.5496
     20.000     5.1395     5.1399   3.347133   3.347447     2.6790     0.7874     0.5140    34.8635 1.0646e+03     19.811    34.8615    34.8647     6.9988    1471.45    27.5493    27.5518
     21.000     5.1257     5.1257   3.345866   3.346108     2.6786     0.7747     0.5095    34.8624 1.0629e+03     20.801    34.8607    34.8635     7.0010    1471.41    27.5504    27.5525
     22.000     5.1211     5.1215   3.345489   3.345742     2.6785     0.7679     0.5072    34.8618 1.0593e+03     21.792    34.8606    34.8632     7.0024    1471.41    27.5508    27.5528
     23.000     5.1151     5.1150   3.344932   3.345166     2.6769     0.7803     0.5118    34.8612 1.0684e+03     22.782    34.8599    34.8628     6.9993    1471.40    27.5510    27.5532
     24.000     5.1018     5.1018   3.343694   3.343931     2.6768     0.7902     0.5108    34.8604 1.0660e+03     23.773    34.8590    34.8617     7.0022    1471.36    27.5518    27.5540
     25.000     5.0983     5.0979   3.343416   3.343599     2.6777     0.7667     0.5070    34.8600 1.0594e+03     24.763    34.8589    34.8614     7.0065    1471.36    27.5521    27.5542
     26.000     5.0922     5.0924   3.342881   3.343111     2.6772     0.7890     0.5087    34.8596 1.0639e+03     25.754    34.8586    34.8610     7.0070    1471.35    27.5527    27.5545
     27.000     5.0901     5.0903   3.342743   3.342959     2.6778     0.8108     0.5078    34.8592 1.0717e+03     26.744    34.8586    34.8609     7.0102    1471.36    27.5529    27.5547
     28.000     5.0880     5.0878   3.342616   3.342787     2.6773     0.8251     0.5155    34.8593 1.0697e+03     27.735    34.8588    34.8610     7.0100    1471.37    27.5533    27.5551
     29.000     5.0809     5.0813   3.341932   3.342198     2.6761     0.7841     0.5021    34.8588 1.0673e+03     28.725    34.8578    34.8605     7.0082    1471.36    27.5533    27.5555
     30.000     5.0682     5.0683   3.340754   3.341002     2.6743     0.8720     0.5219    34.8581 1.0674e+03     29.716    34.8569    34.8597     7.0058    1471.32    27.5542    27.5563
     31.000     5.0624     5.0618   3.340253   3.340401     2.6742     0.8833     0.5086    34.8575 1.0717e+03     30.706    34.8567    34.8590     7.0074    1471.31    27.5547    27.5566
     32.000     5.0579     5.0575   3.339852   3.340027     2.6736     0.8755     0.5077    34.8570 1.0755e+03     31.697    34.8562    34.8587     7.0074    1471.31    27.5548    27.5568
     33.000     5.0550     5.0551   3.339624   3.339854     2.6727     0.8755     0.5236    34.8569 1.0696e+03     32.687    34.8561    34.8586     7.0058    1471.31    27.5551    27.5570
