       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
      2.000     7.3356     7.3359   3.556555   3.556757     2.8106     2.5281     0.5863    34.9672 3.0818e+02      1.981    34.9671    34.9690     7.0039    1479.94    27.3456    27.3470
      3.000     7.3379     7.3378   3.556859   3.556959     2.8091     2.4927     0.5890    34.9674 2.9982e+02      2.971    34.9676    34.9688     6.9998    1479.97    27.3456    27.3465
      4.000     7.3356     7.3363   3.556677   3.556756     2.8097     2.5332     0.5938    34.9674 2.9741e+02      3.961    34.9674    34.9676     7.0030    1479.97    27.3458    27.3459
      5.000     7.3378     7.3381   3.556931   3.557011     2.8097     2.6822     0.6473    34.9674 3.0355e+02      4.952    34.9674    34.9680     7.0035    1480.00    27.3455    27.3460
      6.000     7.3386     7.3389   3.557052   3.557136     2.8093     2.6669     0.6132    34.9674 3.0182e+02      5.942    34.9675    34.9681     7.0031    1480.02    27.3455    27.3459
      7.000     7.3382     7.3391   3.557052   3.557198     2.8084     2.7710     0.6100    34.9674 3.0115e+02      6.932    34.9674    34.9681     7.0012    1480.03    27.3455    27.3459
      8.000     7.3348     7.3361   3.556786   3.556974     2.8078     2.7226     0.5986    34.9676 3.0282e+02      7.923    34.9674    34.9681     7.0007    1480.04    27.3459    27.3463
      9.000     7.3304     7.3352   3.556493   3.556947     2.8071     2.7433     0.5853    34.9680 3.0276e+02      8.913    34.9681    34.9683     7.0003    1480.04    27.3472    27.3466
     10.000     7.3320     7.3306   3.556644   3.556570     2.8062     2.8598     0.6016    34.9677 3.0339e+02      9.903    34.9677    34.9683     6.9982    1480.06    27.3467    27.3474
     11.000     7.3325     7.3343   3.556700   3.556938     2.8060     2.7488     0.5905    34.9676 3.0347e+02     10.894    34.9673    34.9681     6.9983    1480.08    27.3463    27.3466
     12.000     7.3294     7.3306   3.556513   3.556655     2.8060     2.7300     0.6001    34.9678 3.0270e+02     11.884    34.9678    34.9682     6.9999    1480.08    27.3472    27.3473
     13.000     7.3292     7.3311   3.556358   3.556729     2.8050     2.6897     0.5821    34.9673 3.0209e+02     12.874    34.9658    34.9681     6.9979    1480.10    27.3456    27.3471
