       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
      3.029     7.8213     7.8204   3.587569   3.587676     2.1760     0.4361     0.2995    4.98755      3.000    34.8153    34.8174    1481.55    4.98733  1027.1692  1027.1710      0.134    6.64240 0.0000e+00
      4.038     7.8212     7.8202   3.587616   3.587719     2.1769     0.4221     0.3041    4.99078      4.000    34.8154    34.8175    1481.57    4.99055  1027.1740  1027.1758      0.553    6.64241 0.0000e+00
      5.048     7.8214     7.8205   3.587683   3.587786     2.1759     0.4562     0.2985    4.98853      5.000    34.8154    34.8175    1481.59    4.98831  1027.1786  1027.1803      0.270    6.64238 0.0000e+00
      6.057     7.8205     7.8198   3.587662   3.587777     2.1751     0.4731     0.2978    4.98696      6.000    34.8156    34.8176    1481.60    4.98674  1027.1835  1027.1851      0.760    6.64251 0.0000e+00
      7.067     7.8215     7.8206   3.587787   3.587897     2.1754     0.4976     0.2970    4.98821      7.000    34.8155    34.8175    1481.62    4.98798  1027.1879  1027.1896      0.529    6.64237 0.0000e+00
      8.076     7.8223     7.8214   3.587903   3.588016     2.1757     0.5521     0.2937    4.98964      8.000    34.8154    34.8176    1481.64    4.98942  1027.1923  1027.1941      0.469    6.64225 0.0000e+00
      9.086     7.8218     7.8208   3.587925   3.588028     2.1759     0.5592     0.2943    4.99092      9.000    34.8156    34.8178    1481.65    4.99070  1027.1971  1027.1990      0.891    6.64231 0.0000e+00
     10.095     7.8208     7.8197   3.587867   3.587967     2.1758     0.5953     0.2941    4.99147     10.000    34.8155    34.8177    1481.67    4.99124  1027.2018  1027.2036      0.672    6.64247 0.0000e+00
     11.105     7.8206     7.8196   3.587881   3.587994     2.1752     0.6596     0.2954    4.99042     11.000    34.8154    34.8176    1481.68    4.99020  1027.2063  1027.2083      0.219    6.64251 0.0000e+00
     12.114     7.8204     7.8195   3.587923   3.588040     2.1751     0.6773     0.2931    4.99084     12.000    34.8155    34.8177    1481.70    4.99062  1027.2111  1027.2129      0.915    6.64253 0.0000e+00
     13.124     7.8206     7.8197   3.587985   3.588092     2.1747     0.7460     0.2928    4.99007     13.000    34.8155    34.8175    1481.72    4.98985  1027.2157  1027.2174      0.522    6.64250 0.0000e+00
     14.133     7.8208     7.8199   3.588046   3.588153     2.1737     0.8355     0.2930    4.98782     14.000    34.8154    34.8175    1481.73    4.98759  1027.2202  1027.2219      0.511    6.64247 0.0000e+00
     15.143     7.8208     7.8199   3.588098   3.588203     2.1742     0.8495     0.2933    4.99001     15.000    34.8156    34.8176    1481.75    4.98978  1027.2249  1027.2267      0.834    6.64247 0.0000e+00
     16.153     7.8211     7.8202   3.588161   3.588276     2.1738     0.9107     0.2934    4.98923     16.000    34.8154    34.8175    1481.77    4.98901  1027.2294  1027.2311      0.416    6.64243 0.0000e+00
     17.162     7.8214     7.8205   3.588240   3.588357     2.1731     0.9535     0.2943    4.98792     17.000    34.8155    34.8177    1481.78    4.98770  1027.2340  1027.2358      0.707    6.64239 0.0000e+00
     18.172     7.8213     7.8204   3.588279   3.588389     2.1733     0.9346     0.2944    4.98927     18.000    34.8155    34.8176    1481.80    4.98904  1027.2386  1027.2404      0.757    6.64240 0.0000e+00
     19.181     7.8219     7.8209   3.588366   3.588476     2.1730     0.9841     0.2944    4.98882     19.000    34.8154    34.8175    1481.82    4.98860  1027.2430  1027.2449      0.268    6.64231 0.0000e+00
     20.191     7.8217     7.8208   3.588427   3.588527     2.1722     0.9846     0.2956    4.98714     20.000    34.8157    34.8177    1481.83    4.98692  1027.2479  1027.2496      0.815    6.64232 0.0000e+00
     21.201     7.8218     7.8209   3.588474   3.588572     2.1719     0.9806     0.2944    4.98685     21.000    34.8156    34.8176    1481.85    4.98662  1027.2524  1027.2542      0.618    6.64231 0.0000e+00
     22.210     7.8219     7.8210   3.588528   3.588634     2.1710     1.0284     0.2946    4.98482     22.000    34.8156    34.8176    1481.87    4.98459  1027.2571  1027.2588      0.596    6.64230 0.0000e+00
     23.220     7.8219     7.8208   3.588556   3.588656     2.1710     1.0215     0.2949    4.98532     23.000    34.8154    34.8176    1481.88    4.98509  1027.2616  1027.2634      0.575    6.64231 0.0000e+00
     24.229     7.8223     7.8216   3.588645   3.588756     2.1710     1.0263     0.2955    4.98603     24.000    34.8154    34.8174    1481.90    4.98581  1027.2661  1027.2677      0.162    6.64224 0.0000e+00
     25.239     7.8221     7.8211   3.588692   3.588792     2.1710     1.0460     0.2942    4.98674     25.000    34.8157    34.8178    1481.92    4.98651  1027.2709  1027.2727      1.215    6.64227 0.0000e+00
     26.249     7.8221     7.8210   3.588733   3.588841     2.1711     1.0265     0.2940    4.98755     26.000    34.8156    34.8178    1481.93    4.98733  1027.2755  1027.2773      1.161    6.64227 0.0000e+00
     27.258     7.8224     7.8214   3.588787   3.588894     2.1708     1.0280     0.2942    4.98723     27.000    34.8154    34.8176    1481.95    4.98701  1027.2799  1027.2817      0.323    6.64223 0.0000e+00
     28.268     7.8223     7.8214   3.588831   3.588956     2.1703     1.0662     0.2941    4.98661     28.000    34.8155    34.8178    1481.97    4.98639  1027.2845  1027.2865      0.797    6.64224 0.0000e+00
     29.278     7.8224     7.8215   3.588890   3.589010     2.1704     1.0471     0.2964    4.98733     29.000    34.8155    34.8177    1481.98    4.98711  1027.2892  1027.2910      0.750    6.64222 0.0000e+00
     30.287     7.8224     7.8215   3.588923   3.589046     2.1703     1.0357     0.2936    4.98785     30.000    34.8154    34.8176    1482.00    4.98762  1027.2937  1027.2957      0.582    6.64224 0.0000e+00
     31.297     7.8222     7.8213   3.588948   3.589060     2.1703     1.0418     0.2938    4.98863     31.000    34.8154    34.8175    1482.02    4.98841  1027.2983  1027.3002      0.481    6.64226 0.0000e+00
     32.307     7.8225     7.8215   3.589010   3.589121     2.1703     1.0443     0.2936    4.98915     32.000    34.8152    34.8175    1482.03    4.98893  1027.3027  1027.3047      0.349    6.64222 0.0000e+00
     33.316     7.8219     7.8211   3.589029   3.589152     2.1703     1.0484     0.2937    4.98992     33.000    34.8155    34.8176    1482.05    4.98970  1027.3077  1027.3094      0.847    6.64230 0.0000e+00
     34.326     7.8198     7.8200   3.588873   3.589106     2.1700     1.0585     0.2947    4.98978     34.000    34.8155    34.8177    1482.06    4.98956  1027.3126  1027.3143      0.794    6.64263 0.0000e+00
